order_id,date,customer_id,customer_name,category,product,region,channel,unit_price,quantity,discount,revenue
ORD-13315,2021-01-06,CUST-1875,Cassandra Miller,Home & Garden,Home & Garden Product 43,South,Wholesale,352.14,9,0.2,2535.41
ORD-14254,2021-01-06,CUST-1348,Catherine Juarez,Sports,Sports Product 11,South,Online,135.44,7,0.15,805.87
ORD-16446,2021-01-06,CUST-3538,Denise Mcknight,Sports,Sports Product 43,North,Retail,243.54,3,0.05,694.09
ORD-16506,2021-01-06,CUST-2121,Jeffrey Russell,Electronics,Electronics Product 14,North,Retail,898.17,11,0.1,8891.88
ORD-16972,2021-01-06,CUST-2074,John Evans,Home & Garden,Home & Garden Product 25,Central,Retail,704.44,7,0.15,4191.42
ORD-16988,2021-01-06,CUST-3478,Savannah Fitzgerald,Electronics,Electronics Product 49,East,Wholesale,1410.6,7,0.1,8886.78
ORD-19779,2021-01-06,CUST-3738,Jonathan Harris,Food & Beverages,Food & Beverages Product 31,South,Retail,19.46,14,0.2,217.95
ORD-10834,2021-01-07,CUST-1496,David Grant,Electronics,Electronics Product 37,Central,Online,1917.48,9,0.15,14668.72
ORD-11889,2021-01-08,CUST-4148,Alejandra Wilson,Clothing,Clothing Product 37,North,Retail,36.36,13,0.15,401.78
ORD-12147,2021-01-08,CUST-3657,Jennifer Johnson,Electronics,Electronics Product 22,West,Online,839.76,13,0.1,9825.19
ORD-12965,2021-01-08,CUST-3881,Kayla Chambers,Clothing,Clothing Product 25,West,Retail,129.76,11,0.15,1213.26
ORD-14457,2021-01-08,CUST-4132,Jeremiah Lewis,Home & Garden,Home & Garden Product 9,Central,Retail,195.37,1,0.1,175.83
ORD-16810,2021-01-08,CUST-2662,Calvin Oliver,Electronics,Electronics Product 3,East,Online,726.63,9,0.2,5231.74
ORD-17351,2021-01-08,CUST-4454,Monica Oneal,Home & Garden,Home & Garden Product 10,North,Online,739.03,9,0.15,5653.58
ORD-18868,2021-01-08,CUST-4993,Jody Oconnor,Clothing,Clothing Product 48,South,Online,143.32,2,0.2,229.31
ORD-11200,2021-01-09,CUST-3012,Tracey Jenkins,Clothing,Clothing Product 26,South,Online,261.26,1,0.1,235.13
ORD-13564,2021-01-09,CUST-2396,Kathryn Russell,Home & Garden,Home & Garden Product 14,Central,Online,54.85,4,0.2,175.52
ORD-14116,2021-01-09,CUST-2747,Joshua Russell,Home & Garden,Home & Garden Product 49,East,Online,62.69,9,0.05,536.0
ORD-14671,2021-01-09,CUST-1321,Megan Murray,Electronics,Electronics Product 43,Central,Retail,725.97,1,0.05,689.67
ORD-14962,2021-01-09,CUST-1268,Michelle Mendez,Electronics,Electronics Product 36,East,Online,1222.03,12,0.05,13931.14
ORD-19235,2021-01-09,CUST-3807,Jason Terry,Electronics,Electronics Product 2,East,Retail,1948.82,2,0.15,3312.99
ORD-13070,2021-01-10,CUST-4696,Gary Vaughn,Home & Garden,Home & Garden Product 18,South,Online,494.82,13,0.2,5146.13
ORD-14000,2021-01-10,CUST-1732,Tricia Williams,Sports,Sports Product 34,North,Retail,182.37,1,0.0,182.37
ORD-15932,2021-01-10,CUST-2199,Kelly Fleming,Electronics,Electronics Product 33,North,Wholesale,901.12,9,0.2,6488.06
ORD-16383,2021-01-10,CUST-1792,Amber Wang,Clothing,Clothing Product 17,North,Wholesale,108.43,7,0.05,721.06
ORD-10210,2021-01-11,CUST-4420,Jason Montes,Home & Garden,Home & Garden Product 10,West,Wholesale,64.25,2,0.05,122.07
ORD-10570,2021-01-11,CUST-3242,Katelyn Ford,Clothing,Clothing Product 6,North,Online,187.06,13,0.2,1945.42
ORD-13458,2021-01-11,CUST-4527,Sharon Tyler,Food & Beverages,Food & Beverages Product 12,North,Online,53.38,9,0.15,408.36
ORD-16160,2021-01-11,CUST-2589,Luis Martin,Electronics,Electronics Product 40,Central,Retail,1758.04,2,0.1,3164.47
ORD-16369,2021-01-11,CUST-3603,Eric Blanchard,Clothing,Clothing Product 34,North,Wholesale,226.22,2,0.0,452.44
ORD-19666,2021-01-11,CUST-1231,Tracy Owen,Sports,Sports Product 33,West,Wholesale,471.51,9,0.0,4243.59
ORD-19931,2021-01-11,CUST-3021,Jonathan Foster,Home & Garden,Home & Garden Product 32,North,Online,769.08,6,0.2,3691.58
ORD-11004,2021-01-12,CUST-4894,Leah Blake,Food & Beverages,Food & Beverages Product 29,Central,Wholesale,97.13,7,0.2,543.93
ORD-12593,2021-01-12,CUST-3090,Anthony Lopez,Electronics,Electronics Product 17,East,Online,1200.41,12,0.15,12244.18
ORD-16063,2021-01-12,CUST-4668,Dustin Warren,Home & Garden,Home & Garden Product 35,Central,Retail,94.09,10,0.0,940.9
ORD-16487,2021-01-12,CUST-2808,Tammy Martin,Electronics,Electronics Product 45,North,Wholesale,1484.89,2,0.15,2524.31
ORD-19450,2021-01-12,CUST-4211,Dean Watson,Food & Beverages,Food & Beverages Product 22,South,Online,41.2,8,0.15,280.16
ORD-10171,2021-01-13,CUST-3692,David Goodwin,Food & Beverages,Food & Beverages Product 26,East,Retail,87.64,4,0.2,280.45
ORD-11929,2021-01-13,CUST-2078,Jennifer Glover,Home & Garden,Home & Garden Product 10,South,Wholesale,181.89,2,0.05,345.59
ORD-12794,2021-01-13,CUST-2013,Cynthia Curtis,Food & Beverages,Food & Beverages Product 50,Central,Online,54.65,12,0.1,590.22
ORD-14537,2021-01-13,CUST-4178,Katrina Bray MD,Electronics,Electronics Product 7,South,Retail,420.41,11,0.1,4162.06
ORD-18260,2021-01-13,CUST-2257,Dustin Fitzgerald,Food & Beverages,Food & Beverages Product 49,East,Online,94.92,11,0.05,991.91
ORD-12358,2021-01-14,CUST-4025,Eric Kidd,Home & Garden,Home & Garden Product 46,South,Wholesale,324.72,3,0.2,779.33
ORD-14244,2021-01-14,CUST-3481,Carolyn Cooley,Clothing,Clothing Product 44,East,Retail,159.56,11,0.2,1404.13
ORD-15399,2021-01-14,CUST-1790,Jonathan Gregory,Food & Beverages,Food & Beverages Product 28,North,Online,15.03,12,0.0,180.36
ORD-15779,2021-01-14,CUST-1856,Shelby Martin,Home & Garden,Home & Garden Product 29,North,Wholesale,796.64,14,0.2,8922.37
ORD-15885,2021-01-14,CUST-1872,Mark Stuart,Electronics,Electronics Product 30,West,Online,1898.7,4,0.15,6455.58
ORD-11098,2021-01-15,CUST-1454,Thomas Young,Home & Garden,Home & Garden Product 18,Central,Online,788.2,4,0.15,2679.88
ORD-11676,2021-01-15,CUST-2056,Austin Chavez,Home & Garden,Home & Garden Product 13,North,Online,761.15,7,0.2,4262.44
ORD-12696,2021-01-15,CUST-4965,Keith Crawford,Home & Garden,Home & Garden Product 36,East,Retail,50.89,1,0.15,43.26
ORD-12962,2021-01-15,CUST-4948,Nancy Anderson,Electronics,Electronics Product 47,East,Online,1098.6,8,0.05,8349.36
ORD-12995,2021-01-15,CUST-1061,Joshua Cardenas,Home & Garden,Home & Garden Product 44,Central,Online,648.7,4,0.2,2075.84
ORD-13920,2021-01-15,CUST-3472,Dr. Zachary Williams,Electronics,Electronics Product 30,South,Wholesale,689.79,2,0.0,1379.58
ORD-14203,2021-01-15,CUST-2768,Edward Nicholson,Food & Beverages,Food & Beverages Product 5,Central,Wholesale,49.73,13,0.2,517.19
ORD-14414,2021-01-15,CUST-3635,Christopher Gillespie,Electronics,Electronics Product 9,North,Online,366.89,2,0.15,623.71
ORD-14487,2021-01-15,CUST-2312,Jennifer Alvarez,Food & Beverages,Food & Beverages Product 48,Central,Retail,57.85,4,0.1,208.26
ORD-14528,2021-01-15,CUST-3828,Jamie Olson,Home & Garden,Home & Garden Product 12,East,Wholesale,349.57,9,0.0,3146.13
ORD-14622,2021-01-15,CUST-2262,Dennis Glenn,Clothing,Clothing Product 44,West,Retail,52.38,2,0.1,94.28
ORD-14995,2021-01-15,CUST-4585,Nathan Reed,Home & Garden,Home & Garden Product 22,West,Online,454.74,13,0.0,5911.62
ORD-16236,2021-01-15,CUST-1013,Keith Lynn,Clothing,Clothing Product 50,Central,Wholesale,115.02,7,0.05,764.88
ORD-16441,2021-01-15,CUST-4800,David Camacho,Sports,Sports Product 13,Central,Online,30.02,5,0.1,135.09
ORD-18911,2021-01-15,CUST-4066,Randy Dixon,Clothing,Clothing Product 34,North,Online,299.95,12,0.2,2879.52
ORD-19601,2021-01-15,CUST-3160,Anthony Patterson,Clothing,Clothing Product 46,West,Online,225.0,13,0.05,2778.75
ORD-19683,2021-01-15,CUST-2925,John Atkins,Sports,Sports Product 13,South,Retail,306.18,13,0.0,3980.34
ORD-11161,2021-01-16,CUST-3477,Anthony Ballard,Home & Garden,Home & Garden Product 16,East,Online,384.3,3,0.15,979.97
ORD-15711,2021-01-16,CUST-1495,Donald Taylor,Clothing,Clothing Product 39,South,Online,153.1,2,0.15,260.27
ORD-17539,2021-01-16,CUST-4899,Glenda Contreras,Sports,Sports Product 8,North,Retail,304.58,6,0.1,1644.73
ORD-18104,2021-01-16,CUST-2494,Jerome Henson,Sports,Sports Product 18,East,Online,393.65,2,0.15,669.2
ORD-18909,2021-01-16,CUST-2646,Alexander Farrell,Food & Beverages,Food & Beverages Product 23,North,Online,30.89,13,0.05,381.49
ORD-10138,2021-01-17,CUST-4729,Charles David,Electronics,Electronics Product 39,West,Retail,1757.12,13,0.0,22842.56
ORD-10252,2021-01-17,CUST-3979,Dr. Dylan Gilbert,Home & Garden,Home & Garden Product 24,East,Wholesale,373.2,2,0.1,671.76
ORD-15878,2021-01-17,CUST-1282,Eric Sherman,Food & Beverages,Food & Beverages Product 9,North,Wholesale,81.54,10,0.2,652.32
ORD-15960,2021-01-17,CUST-1985,Rachael Williamson,Electronics,Electronics Product 15,South,Online,480.18,6,0.05,2737.03
ORD-16203,2021-01-17,CUST-4132,Stacey Shaw,Sports,Sports Product 7,West,Online,274.85,3,0.1,742.1
ORD-17205,2021-01-17,CUST-2765,Ashley Henderson,Home & Garden,Home & Garden Product 46,West,Wholesale,433.56,2,0.2,693.7
ORD-18083,2021-01-17,CUST-1850,Joseph Perez,Sports,Sports Product 17,South,Wholesale,231.93,9,0.1,1878.63
ORD-19385,2021-01-17,CUST-1100,Chelsea Little,Food & Beverages,Food & Beverages Product 19,North,Wholesale,48.16,2,0.1,86.69
ORD-10633,2021-01-18,CUST-3379,Linda Herring,Home & Garden,Home & Garden Product 7,East,Wholesale,555.58,1,0.15,472.24
ORD-13732,2021-01-18,CUST-3709,Larry Bennett,Electronics,Electronics Product 48,Central,Online,1276.07,11,0.2,11229.42
ORD-13999,2021-01-18,CUST-3219,Mrs. Melissa Crawford DVM,Food & Beverages,Food & Beverages Product 36,North,Retail,23.5,5,0.05,111.62
ORD-14935,2021-01-18,CUST-4784,Charles Terrell,Electronics,Electronics Product 9,North,Retail,1222.94,9,0.2,8805.17
ORD-16748,2021-01-18,CUST-1677,Matthew Cohen,Food & Beverages,Food & Beverages Product 21,Central,Online,32.02,13,0.1,374.63
ORD-18166,2021-01-18,CUST-4352,Jordan Kelly,Food & Beverages,Food & Beverages Product 29,Central,Wholesale,83.91,10,0.0,839.1
ORD-12026,2021-01-19,CUST-2308,John Price,Food & Beverages,Food & Beverages Product 16,Central,Wholesale,88.64,7,0.05,589.46
ORD-12939,2021-01-19,CUST-2229,Susan Wilson,Sports,Sports Product 35,North,Retail,403.72,12,0.1,4360.18
ORD-13583,2021-01-19,CUST-2643,Jason Gomez,Home & Garden,Home & Garden Product 23,South,Retail,427.94,1,0.05,406.54
ORD-17554,2021-01-20,CUST-1194,Jenna Conner,Sports,Sports Product 16,Central,Online,36.43,13,0.0,473.59
ORD-19356,2021-01-20,CUST-2733,Tricia Garcia,Home & Garden,Home & Garden Product 28,North,Wholesale,447.59,9,0.15,3424.06
ORD-19693,2021-01-20,CUST-3747,George David,Sports,Sports Product 7,South,Wholesale,172.24,11,0.0,1894.64
ORD-19716,2021-01-20,CUST-1151,Daniel Juarez,Sports,Sports Product 18,West,Online,150.21,8,0.1,1081.51
ORD-19866,2021-01-20,CUST-1104,James Booker,Home & Garden,Home & Garden Product 28,East,Online,540.65,4,0.0,2162.6
ORD-19988,2021-01-20,CUST-1225,Randall Grant,Clothing,Clothing Product 41,Central,Online,250.76,4,0.15,852.58
ORD-11125,2021-01-21,CUST-1471,Samuel Ramirez,Clothing,Clothing Product 10,North,Retail,120.21,2,0.2,192.34
ORD-13072,2021-01-21,CUST-3948,Jennifer Hull,Clothing,Clothing Product 50,East,Retail,46.34,7,0.05,308.16
ORD-16182,2021-01-21,CUST-4462,Michelle Davis,Sports,Sports Product 36,West,Online,447.48,3,0.1,1208.2
ORD-16443,2021-01-21,CUST-1256,Kelly Dixon,Clothing,Clothing Product 49,North,Online,39.75,10,0.2,318.0
ORD-18632,2021-01-21,CUST-2115,Tyler Castaneda,Clothing,Clothing Product 30,South,Online,82.36,1,0.0,82.36
ORD-12297,2021-01-22,CUST-3777,Christopher Lopez,Sports,Sports Product 7,North,Retail,429.29,4,0.05,1631.3
ORD-12756,2021-01-22,CUST-4137,Brooke Evans,Home & Garden,Home & Garden Product 33,North,Online,510.39,8,0.15,3470.65
ORD-12867,2021-01-22,CUST-1514,Michael Stevens,Clothing,Clothing Product 37,Central,Online,288.39,5,0.2,1153.56
ORD-14037,2021-01-22,CUST-3478,Jeffery Gonzalez,Clothing,Clothing Product 37,West,Retail,221.52,1,0.05,210.44
ORD-14764,2021-01-22,CUST-4354,Cameron Reynolds,Clothing,Clothing Product 12,North,Retail,143.43,6,0.0,860.58
ORD-15908,2021-01-22,CUST-4693,Julie Lawrence,Electronics,Electronics Product 17,West,Wholesale,972.51,1,0.0,972.51
ORD-17331,2021-01-22,CUST-4755,Stephanie Martinez,Home & Garden,Home & Garden Product 22,North,Retail,153.9,2,0.05,292.41
ORD-19265,2021-01-22,CUST-1162,Laura Jensen,Home & Garden,Home & Garden Product 4,South,Retail,106.57,9,0.1,863.22
ORD-11350,2021-01-23,CUST-3269,James Collins,Clothing,Clothing Product 46,Central,Online,253.15,9,0.15,1936.6
ORD-11809,2021-01-23,CUST-1420,Shannon Ramirez,Clothing,Clothing Product 50,East,Retail,165.77,2,0.2,265.23
ORD-19922,2021-01-23,CUST-3008,Theresa Walls,Sports,Sports Product 11,Central,Retail,309.93,2,0.15,526.88
ORD-15971,2021-01-24,CUST-4496,Tasha Todd,Sports,Sports Product 33,Central,Retail,207.85,1,0.15,176.67
ORD-17965,2021-01-24,CUST-3433,Matthew Young,Clothing,Clothing Product 31,Central,Online,23.86,1,0.05,22.67
ORD-19725,2021-01-24,CUST-1051,Erica Peters,Food & Beverages,Food & Beverages Product 36,North,Retail,17.85,2,0.0,35.7
ORD-10320,2021-01-25,CUST-3194,Joseph Maldonado,Sports,Sports Product 19,Central,Retail,278.83,1,0.1,250.95
ORD-14425,2021-01-25,CUST-3655,Tracy Whitehead,Clothing,Clothing Product 29,Central,Online,136.17,2,0.0,272.34
ORD-15048,2021-01-25,CUST-1712,Drew Kennedy,Electronics,Electronics Product 16,North,Wholesale,1071.59,10,0.2,8572.72
ORD-12910,2021-01-26,CUST-3520,Jessica Taylor,Clothing,Clothing Product 30,East,Wholesale,243.59,1,0.05,231.41
ORD-14471,2021-01-26,CUST-1413,Timothy Garcia,Home & Garden,Home & Garden Product 38,Central,Wholesale,398.56,6,0.15,2032.66
ORD-15075,2021-01-26,CUST-3889,Jessica Barnett,Home & Garden,Home & Garden Product 15,East,Retail,639.23,1,0.05,607.27
ORD-15681,2021-01-26,CUST-1965,Curtis Hammond,Electronics,Electronics Product 46,West,Retail,956.43,11,0.05,9994.69
ORD-15732,2021-01-26,CUST-3726,Monica Gutierrez,Food & Beverages,Food & Beverages Product 50,West,Retail,11.05,1,0.0,11.05
ORD-19130,2021-01-26,CUST-2436,Paul Graham,Sports,Sports Product 26,North,Retail,327.04,5,0.0,1635.2
ORD-19451,2021-01-26,CUST-2462,Eric Scott,Home & Garden,Home & Garden Product 8,West,Retail,131.02,9,0.05,1120.22
ORD-19822,2021-01-26,CUST-1150,Carolyn Cox,Clothing,Clothing Product 26,Central,Wholesale,228.29,2,0.0,456.58
ORD-10931,2021-01-27,CUST-2794,Daniel Silva,Home & Garden,Home & Garden Product 34,East,Online,554.07,11,0.15,5180.55
ORD-12247,2021-01-27,CUST-2934,Bryan Galloway,Clothing,Clothing Product 41,Central,Wholesale,212.75,5,0.1,957.38
ORD-12584,2021-01-27,CUST-4862,Megan Green,Home & Garden,Home & Garden Product 36,Central,Wholesale,348.34,1,0.15,296.09
ORD-13087,2021-01-27,CUST-4247,Elizabeth Small,Food & Beverages,Food & Beverages Product 11,South,Wholesale,85.85,2,0.05,163.11
ORD-13507,2021-01-27,CUST-1802,Justin Curtis Jr.,Food & Beverages,Food & Beverages Product 44,South,Retail,63.42,2,0.1,114.16
ORD-14261,2021-01-27,CUST-3649,Daniel Hall,Food & Beverages,Food & Beverages Product 28,West,Retail,44.61,13,0.0,579.93
ORD-15328,2021-01-27,CUST-2974,Anna Mcdonald,Electronics,Electronics Product 8,South,Retail,988.23,9,0.2,7115.26
ORD-19749,2021-01-27,CUST-1294,John Ward,Sports,Sports Product 15,Central,Wholesale,346.55,9,0.1,2807.06
ORD-19927,2021-01-27,CUST-3349,Heather Alexander,Clothing,Clothing Product 28,North,Online,130.47,10,0.15,1109.0
ORD-11461,2021-01-28,CUST-4651,Heather Curtis,Food & Beverages,Food & Beverages Product 34,East,Retail,33.61,8,0.1,241.99
ORD-14007,2021-01-28,CUST-4900,Lori Willis,Sports,Sports Product 32,South,Online,484.77,13,0.2,5041.61
ORD-17797,2021-01-28,CUST-4261,Michelle Oconnor,Clothing,Clothing Product 38,East,Retail,162.83,11,0.2,1432.9
ORD-19301,2021-01-28,CUST-3255,Nicholas Jones,Food & Beverages,Food & Beverages Product 13,West,Retail,85.81,13,0.15,948.2
ORD-10118,2021-01-29,CUST-4446,Steve Mccarty,Clothing,Clothing Product 8,East,Wholesale,134.24,12,0.05,1530.34
ORD-11277,2021-01-29,CUST-3925,Anthony Hood,Sports,Sports Product 28,North,Retail,119.39,14,0.0,1671.46
ORD-12668,2021-01-29,CUST-1408,Christopher Marshall,Home & Garden,Home & Garden Product 23,North,Online,143.51,11,0.15,1341.82
ORD-13381,2021-01-29,CUST-2805,Marcus Hernandez,Clothing,Clothing Product 32,North,Retail,110.22,13,0.05,1361.22
ORD-13658,2021-01-29,CUST-2736,Jennifer Taylor,Home & Garden,Home & Garden Product 37,West,Online,516.08,13,0.0,6709.04
ORD-15186,2021-01-29,CUST-1694,Barbara Mathews,Clothing,Clothing Product 16,East,Retail,82.39,11,0.15,770.35
ORD-15626,2021-01-29,CUST-4139,Jason Robinson,Electronics,Electronics Product 44,West,Retail,1408.01,11,0.15,13164.89
ORD-16329,2021-01-29,CUST-1258,Kyle Williams,Home & Garden,Home & Garden Product 41,East,Online,108.36,4,0.1,390.1
ORD-17609,2021-01-29,CUST-2698,Stacy Dennis,Electronics,Electronics Product 30,North,Retail,1220.01,8,0.2,7808.06
ORD-17937,2021-01-29,CUST-3824,Gary Perkins,Sports,Sports Product 16,East,Wholesale,358.42,7,0.15,2132.6
ORD-18409,2021-01-29,CUST-2584,Christopher Fleming,Clothing,Clothing Product 24,South,Online,270.23,1,0.2,216.18
ORD-11792,2021-01-30,CUST-1663,Jenny Williamson,Electronics,Electronics Product 26,South,Online,1342.34,3,0.05,3825.67
ORD-15043,2021-01-30,CUST-2285,Steven Chen,Sports,Sports Product 21,North,Retail,55.22,5,0.15,234.69
ORD-15067,2021-01-30,CUST-3726,Michael Sanchez,Food & Beverages,Food & Beverages Product 28,South,Online,60.86,1,0.0,60.86
ORD-16616,2021-01-30,CUST-2842,Terri Hawkins,Sports,Sports Product 29,East,Wholesale,92.95,5,0.0,464.75
ORD-16899,2021-01-30,CUST-3614,Thomas Torres,Food & Beverages,Food & Beverages Product 24,West,Retail,62.72,2,0.05,119.17
ORD-18277,2021-01-30,CUST-4111,Micheal Rodriguez,Electronics,Electronics Product 19,West,Wholesale,426.37,6,0.0,2558.22
ORD-12488,2021-01-31,CUST-2622,Patricia Hutchinson,Electronics,Electronics Product 31,North,Wholesale,1054.25,2,0.2,1686.8
ORD-15674,2021-01-31,CUST-4748,Ann Johnson,Home & Garden,Home & Garden Product 14,West,Wholesale,232.49,7,0.0,1627.43
ORD-16346,2021-01-31,CUST-1110,Michael Mills,Sports,Sports Product 3,West,Online,351.73,7,0.2,1969.69
ORD-17364,2021-01-31,CUST-2121,April Martinez,Food & Beverages,Food & Beverages Product 2,West,Retail,47.51,11,0.15,444.22
ORD-17489,2021-01-31,CUST-2169,Christine Santos,Electronics,Electronics Product 48,West,Wholesale,298.72,4,0.05,1135.14
ORD-10309,2021-02-01,CUST-4059,Michelle Flores,Clothing,Clothing Product 49,East,Retail,282.4,5,0.0,1412.0
ORD-11397,2021-02-01,CUST-4443,Joan Holder,Electronics,Electronics Product 34,West,Online,476.08,1,0.1,428.47
ORD-14421,2021-02-01,CUST-4800,Christopher Meyer,Home & Garden,Home & Garden Product 37,West,Online,179.54,10,0.15,1526.09
ORD-16271,2021-02-01,CUST-3517,Gina Hernandez,Food & Beverages,Food & Beverages Product 38,East,Online,44.25,12,0.0,531.0
ORD-11829,2021-02-02,CUST-4722,Michael French,Clothing,Clothing Product 33,South,Retail,73.14,3,0.1,197.48
ORD-13670,2021-02-02,CUST-1469,Madeline Cantu,Electronics,Electronics Product 44,North,Retail,464.74,10,0.2,3717.92
ORD-14953,2021-02-02,CUST-3897,Larry Huang,Sports,Sports Product 9,North,Online,33.08,9,0.05,282.83
ORD-15580,2021-02-02,CUST-3378,Samuel Merritt,Clothing,Clothing Product 8,West,Retail,169.14,14,0.1,2131.16
ORD-18455,2021-02-02,CUST-3166,Tammy Martinez,Electronics,Electronics Product 28,South,Wholesale,629.88,6,0.05,3590.32
ORD-19336,2021-02-02,CUST-2909,Leslie Long,Home & Garden,Home & Garden Product 16,South,Retail,377.17,1,0.2,301.74
ORD-13125,2021-02-03,CUST-2764,Michael Jones,Food & Beverages,Food & Beverages Product 22,North,Wholesale,47.95,12,0.2,460.32
ORD-16575,2021-02-03,CUST-1350,Aimee Valencia,Sports,Sports Product 9,Central,Online,165.91,10,0.1,1493.19
ORD-16991,2021-02-03,CUST-4706,Katrina Harrison,Food & Beverages,Food & Beverages Product 19,South,Online,20.48,7,0.2,114.69
ORD-17301,2021-02-03,CUST-3524,Robert Wright,Food & Beverages,Food & Beverages Product 2,East,Wholesale,11.16,8,0.1,80.35
ORD-10565,2021-02-04,CUST-1024,Brooke Cummings,Home & Garden,Home & Garden Product 42,West,Retail,554.97,9,0.2,3995.78
ORD-16720,2021-02-04,CUST-1485,Rachel Jackson,Food & Beverages,Food & Beverages Product 18,West,Wholesale,81.37,2,0.05,154.6
ORD-11540,2021-02-05,CUST-4956,Sharon Harris,Clothing,Clothing Product 23,West,Retail,22.48,11,0.0,247.28
ORD-17668,2021-02-05,CUST-4427,Rachael Watson,Sports,Sports Product 45,East,Online,469.24,1,0.0,469.24
ORD-17758,2021-02-05,CUST-1389,Brenda Vargas,Sports,Sports Product 25,South,Wholesale,52.89,9,0.2,380.81
ORD-19284,2021-02-05,CUST-4448,Emily Wilson,Electronics,Electronics Product 21,South,Online,1443.11,8,0.05,10967.64
ORD-17964,2021-02-06,CUST-4155,Kenneth Price,Clothing,Clothing Product 9,West,Wholesale,25.9,10,0.2,207.2
ORD-18341,2021-02-06,CUST-1929,Dylan Martin,Sports,Sports Product 31,South,Retail,231.83,12,0.05,2642.86
ORD-19418,2021-02-06,CUST-2250,Chelsea Ortiz,Sports,Sports Product 38,North,Online,320.61,3,0.2,769.46
ORD-19662,2021-02-06,CUST-4439,Emma Schmidt,Electronics,Electronics Product 26,East,Retail,1678.56,5,0.15,7133.88
ORD-11035,2021-02-07,CUST-3772,Joshua Fletcher,Clothing,Clothing Product 11,Central,Online,266.65,9,0.1,2159.86
ORD-12142,2021-02-07,CUST-1259,Tyler Bennett,Sports,Sports Product 11,East,Wholesale,408.06,15,0.0,6120.9
ORD-13266,2021-02-07,CUST-3073,Mark Mueller,Clothing,Clothing Product 11,West,Retail,152.51,10,0.1,1372.59
ORD-14967,2021-02-07,CUST-1617,Briana Miller,Home & Garden,Home & Garden Product 12,Central,Wholesale,505.62,1,0.15,429.78
ORD-15830,2021-02-07,CUST-2627,Jeff Gates,Sports,Sports Product 43,West,Wholesale,383.41,12,0.15,3910.78
ORD-15841,2021-02-07,CUST-2048,Jeremiah Harris,Clothing,Clothing Product 40,East,Wholesale,120.79,2,0.1,217.42
ORD-15930,2021-02-07,CUST-4356,John Fleming,Home & Garden,Home & Garden Product 14,Central,Retail,379.4,15,0.15,4837.35
ORD-16716,2021-02-07,CUST-3519,Dr. Grant Morgan,Electronics,Electronics Product 33,North,Online,1120.88,5,0.2,4483.52
ORD-16725,2021-02-07,CUST-3220,James Riley,Food & Beverages,Food & Beverages Product 41,Central,Online,97.94,9,0.1,793.31
